GEO_TTL,SECTOR,NAICS2017,NAICS2017_TTL,YEAR,FIRM,ESTAB,RCPTOT,PAYANN,PAYQTR1,EMP,RCPTOT_IMP,PAYANN_IMP,EMP_IMP,AVG SALARY(PAYANN/EMP)
United States,52,521110,Monetary authorities - central bank,2017,12,57,116892000,2268091,534358,19189,0,0,0,118.2
United States,52,522110,Commercial banking,2017,5009,92063,465245474,130408773,41992915,1606404,0,0,0,81.18
United States,52,522130,Credit unions,2017,5320,19312,65100059,15525364,4102315,290249,0,0,0,53.49
United States,52,522210,Credit card issuing,2017,67,658,128445385,5589550,1881103,67681,0,0,0,82.59
United States,52,522220,Sales financing,2017,2376,4194,114879189,8869979,2783756,94656,0,0,0,93.71
United States,52,522291,Consumer lending,2017,3017,14266,36539412,5800887,1794524,93991,0,0,0,61.72
United States,52,522292,Real estate credit,2017,3311,14968,91028629,26403585,7085753,275410,0,0,0,95.87
United States,52,522293,International trade financing,2017,160,166,535836,85330,21793,645,0,0,0,132.29
United States,52,522310,Mortgage and nonmortgage loan brokers,2017,6813,7623,10219702,4041968,1000444,46646,0,0,0,86.65
United States,52,522320,"Financial transactions processing, reserve, and clearinghouse activities",2017,3049,4356,78455444,14714030,4209499,165746,0,0,0,88.77
United States,52,522390,Other activities related to credit intermediation,2017,3769,15831,19230757,4674243,1232193,102392,0,0,0,45.65
United States,52,523110,Investment banking and securities dealing,2017,2367,3793,104943116,33373779,15796621,97762,0,0,0,341.38
United States,52,523120,Securities brokerage,2017,6916,23295,126532291,46530897,15596520,259648,0,0,0,179.21
United States,52,523130,Commodity contracts dealing,2017,606,810,7132181,1699100,696564,8756,0,0,0,194.05
United States,52,523140,Commodity contracts brokerage,2017,848,980,5496244,1436660,377001,10060,0,0,0,142.81
United States,52,523210,Securities and commodity exchanges,2017,13,36,11826979,1230022,484916,5954,0,0,0,206.59
United States,52,523910,Miscellaneous intermediation,2017,8315,8541,29991303,8811680,2588604,51026,0,0,0,172.69
United States,52,523920,Portfolio management,2017,24317,42671,245532424,84745550,28384870,369419,0,0,0,229.4
United States,52,523930,Investment advice,2017,17335,19136,40074534,11557351,3600440,98211,0,0,0,117.68
United States,52,523991,"Trust, fiduciary, and custody activities",2017,1896,2254,16245152,3311188,1043517,34739,0,0,0,95.32
United States,52,523999,Miscellaneous financial investment activities,2017,925,1039,8121627,2376759,781215,18366,0,0,0,129.41
United States,52,524113,Direct life insurance carriers,2017,599,8580,501786132,36308166,12789535,331020,0,0,0,109.69
United States,52,524114,Direct health and medical insurance carriers,2017,733,5421,855939898,45226005,14072262,543943,0,0,0,83.14
United States,52,524126,Direct property and casualty insurance carriers,2017,2326,13117,554818150,52574064,17102003,597408,0,0,0,88.0
United States,52,524127,Direct title insurance carriers,2017,762,3890,14635255,4092191,1040376,52599,0,0,0,77.8
United States,52,524128,"Other direct insurance (except life, health, and medical) carriers",2017,353,500,15951099,1893639,497494,26544,0,0,0,71.34
United States,52,524130,Reinsurance carriers,2017,138,397,66638710,2517768,988878,13880,0,0,0,181.4
United States,52,524210,Insurance agencies and brokerages,2017,123933,136587,137747649,48300933,12573129,733127,0,0,0,65.88
United States,52,524291,Claims adjusting,2017,3386,4577,8155068,3103604,687175,40410,0,0,0,76.8
United States,52,524292,Third party administration of insurance and pension funds,2017,2763,4483,176829332,14029832,3864772,212407,0,0,0,66.05
United States,52,524298,All other insurance related activities,2017,2283,2692,7944549,2581277,712199,31903,0,0,0,80.91
Alabama,52,521110,Monetary authorities - central bank,2017,1,1,0,2078,597,19,0,0,0,109.37
Alabama,52,522110,Commercial banking,2017,171,1649,0,1640235,447376,27125,0,0,0,60.47
Alabama,52,522120,Savings institutions,2017,6,13,0,9043,2128,168,0,0,0,53.83
Alabama,52,522130,Credit unions,2017,123,426,1086519,249407,61694,5348,0,0,0,46.64
Alabama,52,522220,Sales financing,2017,42,50,161844,21801,6381,299,0,0,0,72.91
Alabama,52,522291,Consumer lending,2017,132,764,480531,91278,23633,2552,0,0,0,35.77
Alabama,52,522292,Real estate credit,2017,90,209,557154,139662,34732,1766,0,0,0,79.08
Alabama,52,522310,Mortgage and nonmortgage loan brokers,2017,42,46,22907,9602,2029,168,0,0,0,57.15
Alabama,52,522320,"Financial transactions processing, reserve, and clearinghouse activities",2017,22,22,44091,10932,2768,209,0,0,0,52.31
Alabama,52,522390,Other activities related to credit intermediation,2017,50,431,179802,37307,9592,1343,0,0,0,27.78
Alabama,52,523120,Securities brokerage,2017,91,189,560268,247208,69260,1300,0,0,0,190.16
Alabama,52,523130,Commodity contracts dealing,2017,3,3,466,142,16,2,0,0,0,71.0
Alabama,52,523920,Portfolio management,2017,154,352,393010,173947,43950,1544,0,0,0,112.66
Alabama,52,523930,Investment advice,2017,125,144,85671,27988,6708,386,0,0,0,72.51
Alabama,52,523991,"Trust, fiduciary, and custody activities",2017,15,16,9292,4142,952,65,0,0,0,63.72
Alabama,52,524113,Direct life insurance carriers,2017,38,110,0,272410,100239,3382,0,0,0,80.55
Alabama,52,524114,Direct health and medical insurance carriers,2017,18,69,0,403418,129517,4465,0,0,0,90.35
Alabama,52,524126,Direct property and casualty insurance carriers,2017,50,483,0,530827,157110,6878,0,0,0,77.18
Alabama,52,524127,Direct title insurance carriers,2017,9,13,0,1775,424,40,0,0,0,44.38
